algorithm,validation_method,remove_outliers,scale_data,use_pca,params,time,conf_matrix,accuracy,precision,recall,f1
svm_classifier,cross_validation,True,True,True,"{'C': 0.01, 'kernel': 'rbf'}",0.34239792823791504,"[[0.0, 0.0, 2.0, 0.0, 270.0, 0.0, 0.0], [0.0, 0.0, 4.0, 0.0, 283.0, 0.0, 0.0], [0.0, 0.0, 42.0, 2.0, 307.0, 0.0, 0.0], [0.0, 0.0, 1.0, 19.0, 277.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 324.0, 0.0, 0.0], [0.0, 0.0, 9.0, 2.0, 279.0, 0.0, 0.0], [0.0, 0.0, 14.0, 4.0, 272.0, 0.0, 0.0]]",0.1823933682486314,0.16951118770462248,0.7956292001213522,0.08125117817055931
svm_classifier,cross_validation,True,True,True,"{'C': 0.1, 'kernel': 'linear'}",0.13883233070373535,"[[113.0, 91.0, 31.0, 1.0, 0.0, 30.0, 6.0], [49.0, 114.0, 17.0, 0.0, 3.0, 53.0, 51.0], [4.0, 15.0, 207.0, 46.0, 8.0, 30.0, 41.0], [0.0, 1.0, 11.0, 275.0, 0.0, 3.0, 7.0], [0.0, 0.0, 1.0, 1.0, 322.0, 0.0, 0.0], [15.0, 85.0, 35.0, 10.0, 0.0, 110.0, 35.0], [2.0, 18.0, 48.0, 56.0, 0.0, 27.0, 139.0]]",0.6063515668778826,0.5966417042920192,0.5982284574554346,0.5906519076542929
svm_classifier,cross_validation,True,True,True,"{'C': 0.1, 'kernel': 'rbf'}",0.7448098659515381,"[[56.0, 4.0, 186.0, 6.0, 0.0, 2.0, 18.0], [28.0, 2.0, 202.0, 2.0, 3.0, 12.0, 38.0], [2.0, 0.0, 255.0, 74.0, 7.0, 5.0, 8.0], [0.0, 0.0, 18.0, 273.0, 0.0, 0.0, 6.0], [0.0, 0.0, 1.0, 1.0, 321.0, 0.0, 1.0], [5.0, 1.0, 212.0, 33.0, 0.0, 21.0, 18.0], [1.0, 0.0, 132.0, 60.0, 1.0, 3.0, 93.0]]",0.4836529861200914,0.46396915009006756,0.5820426861992742,0.4170747526313467
svm_classifier,cross_validation,True,True,True,"{'C': 1, 'kernel': 'linear'}",0.15396332740783691,"[[119.0, 94.0, 2.0, 0.0, 0.0, 41.0, 16.0], [49.0, 136.0, 11.0, 0.0, 2.0, 52.0, 37.0], [5.0, 20.0, 234.0, 28.0, 3.0, 16.0, 45.0], [0.0, 1.0, 10.0, 277.0, 1.0, 2.0, 6.0], [0.0, 0.0, 1.0, 1.0, 322.0, 0.0, 0.0], [24.0, 81.0, 22.0, 1.0, 0.0, 121.0, 41.0], [2.0, 35.0, 37.0, 21.0, 1.0, 29.0, 165.0]]",0.6508820423294107,0.6409607662138622,0.6486379202206329,0.6394250686508748
svm_classifier,cross_validation,True,True,True,"{'C': 1, 'kernel': 'rbf'}",0.2445530891418457,"[[110.0, 92.0, 48.0, 0.0, 0.0, 13.0, 9.0], [24.0, 151.0, 35.0, 3.0, 0.0, 40.0, 34.0], [0.0, 39.0, 231.0, 28.0, 3.0, 34.0, 16.0], [0.0, 7.0, 10.0, 266.0, 0.0, 1.0, 13.0], [0.0, 0.0, 1.0, 1.0, 321.0, 0.0, 1.0], [5.0, 79.0, 33.0, 2.0, 0.0, 149.0, 22.0], [1.0, 38.0, 44.0, 20.0, 0.0, 29.0, 158.0]]",0.6565557782663046,0.6472322668258107,0.6791217785744513,0.6501895831898529
svm_classifier,holdout,True,True,True,default,0.07796764373779297,"[[36, 24, 17, 0, 0, 4, 1], [9, 43, 11, 0, 0, 11, 12], [0, 12, 62, 7, 3, 17, 5], [0, 3, 2, 79, 0, 0, 5], [0, 0, 0, 0, 97, 0, 0], [3, 17, 8, 0, 0, 49, 10], [1, 11, 16, 5, 0, 9, 45]]",0.6482649842271293,0.6417186100249151,0.6599407309400271,0.644089800370556
svm_classifier,cross_validation,False,True,True,"{'C': 0.01, 'kernel': 'linear'}",0.2493131160736084,"[[230.0, 11.0, 9.0, 2.0, 0.0, 20.0, 0.0], [112.0, 91.0, 29.0, 5.0, 0.0, 35.0, 15.0], [5.0, 10.0, 244.0, 71.0, 4.0, 4.0, 13.0], [1.0, 1.0, 15.0, 276.0, 1.0, 0.0, 3.0], [0.0, 0.0, 0.0, 1.0, 322.0, 0.0, 1.0], [30.0, 20.0, 120.0, 25.0, 0.0, 81.0, 14.0], [6.0, 21.0, 144.0, 48.0, 3.0, 5.0, 63.0]]",0.6191269020216388,0.6116603198022029,0.6297704404714214,0.5834857918157141
svm_classifier,cross_validation,False,True,True,"{'C': 0.01, 'kernel': 'rbf'}",0.7101852893829346,"[[0.0, 0.0, 272.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 287.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 351.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 297.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 33.0, 0.0, 291.0, 0.0, 0.0], [0.0, 0.0, 290.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 290.0, 0.0, 0.0, 0.0, 0.0]]",0.3041214060950903,0.2712865831690932,0.8846941218384231,0.1814074726086411
svm_classifier,cross_validation,False,True,True,"{'C': 0.1, 'kernel': 'linear'}",0.26003551483154297,"[[222.0, 19.0, 0.0, 0.0, 0.0, 31.0, 0.0], [96.0, 108.0, 18.0, 2.0, 1.0, 41.0, 21.0], [4.0, 8.0, 248.0, 58.0, 3.0, 19.0, 11.0], [1.0, 1.0, 14.0, 279.0, 0.0, 0.0, 2.0], [0.0, 0.0, 0.0, 1.0, 322.0, 0.0, 1.0], [24.0, 31.0, 67.0, 6.0, 0.0, 148.0, 14.0], [3.0, 27.0, 134.0, 27.0, 0.0, 33.0, 66.0]]",0.6598701722056987,0.6528689267255204,0.6547801089840353,0.633425870309518
svm_classifier,cross_validation,False,True,True,"{'C': 0.1, 'kernel': 'rbf'}",0.5823180675506592,"[[218.0, 25.0, 17.0, 4.0, 0.0, 8.0, 0.0], [67.0, 163.0, 32.0, 2.0, 0.0, 13.0, 10.0], [3.0, 25.0, 230.0, 72.0, 8.0, 5.0, 8.0], [1.0, 17.0, 23.0, 246.0, 0.0, 0.0, 10.0], [0.0, 2.0, 0.0, 0.0, 321.0, 0.0, 1.0], [19.0, 46.0, 97.0, 41.0, 1.0, 81.0, 5.0], [4.0, 44.0, 96.0, 47.0, 1.0, 5.0, 93.0]]",0.6404343937238673,0.6351783771605083,0.6736956530826658,0.6207859506065532
