algorithm,validation_method,remove_outliers,scale_data,use_pca,params,accuracy,precision,recall,f1,best_params
svm_classifier,cross_validation,True,False,False,{'C': 1},0.06666666666666667,0.06610697278911566,0.8959187136418135,0.02094033300236712,
svm_classifier,cross_validation,True,False,False,{'C': 10},0.4026666666666666,0.42326025267249756,0.5513793002915452,0.3610881571942796,
svm_classifier,holdout,True,False,False,,0.4622222222222222,0.4446666666666667,0.5987014652014652,0.4433261346496641,default
svm_classifier,cross_validation,False,False,False,{'C': 0.01},0.032,0.03171768707482993,0.956649614963419,0.0030417018167733087,
svm_classifier,cross_validation,False,False,False,{'C': 0.1},0.032,0.03171768707482993,0.956649614963419,0.0030417018167733087,
svm_classifier,cross_validation,False,False,False,{'C': 1},0.06666666666666667,0.06610697278911566,0.8959187136418135,0.02094033300236712,
svm_classifier,cross_validation,False,False,False,{'C': 10},0.4026666666666666,0.42326025267249756,0.5513793002915452,0.3610881571942796,
svm_classifier,holdout,False,False,False,,0.4622222222222222,0.4446666666666667,0.5987014652014652,0.4433261346496641,default
knn_classifier,cross_validation,True,True,True,{'n_neighbors': 3},0.07066666666666667,0.07786666666666667,0.7977989464186781,0.035164895963624966,
knn_classifier,cross_validation,True,True,True,{'n_neighbors': 5},0.05733333333333333,0.06574421768707484,0.8573155507962602,0.02684839228956366,
knn_classifier,cross_validation,True,True,True,{'n_neighbors': 10},0.06533333333333333,0.07805034013605443,0.8582683335837988,0.02902678787623102,
knn_classifier,holdout,True,True,True,,0.05333333333333334,0.045,0.8531176470588235,0.017718584289061538,default
knn_classifier,cross_validation,False,True,True,{'n_neighbors': 3},0.07066666666666667,0.07786666666666667,0.7977989464186781,0.035164895963624966,
knn_classifier,cross_validation,False,True,True,{'n_neighbors': 5},0.05733333333333333,0.06574421768707484,0.8573155507962602,0.02684839228956366,
knn_classifier,cross_validation,False,True,True,{'n_neighbors': 10},0.06533333333333333,0.07805034013605443,0.8582683335837988,0.02902678787623102,
knn_classifier,holdout,False,True,True,,0.05333333333333334,0.045,0.8531176470588235,0.017718584289061538,default
